,WorkerId,en_word,anno1_word,anno2_word,Answer.A,Answer.B,Answer.C,Answer.D,source
0,A3AHE81HVRXFCD,statistical,统计的,统计类,False,True,False,False,6060
1,A3AHE81HVRXFCD,CRF,条件随机场,CRF,False,True,False,False,6060
2,A3AHE81HVRXFCD,OOV,超出词汇表,OOV,False,True,False,False,6060
3,A3AHE81HVRXFCD,morphological,形态学的,形态化,False,True,False,False,6060
4,A3AHE81HVRXFCD,NLI,自然语言推理,NLI,False,True,False,False,6060
5,AC4I7XU10MQXK,statistical,统计的,统计类,False,True,False,False,6060
6,AC4I7XU10MQXK,CRF,条件随机场,CRF,False,True,False,False,6060
7,AC4I7XU10MQXK,OOV,超出词汇表,OOV,False,True,False,False,6060
8,AC4I7XU10MQXK,morphological,形态学的,形态化,False,True,False,False,6060
9,AC4I7XU10MQXK,NLI,自然语言推理,NLI,False,True,False,False,6060
10,A11B7MUC7UTFKN,statistical,统计的,统计类,False,True,False,False,6060
11,A11B7MUC7UTFKN,CRF,条件随机场,CRF,True,False,False,False,6060
12,A11B7MUC7UTFKN,OOV,超出词汇表,OOV,False,True,False,False,6060
13,A11B7MUC7UTFKN,morphological,形态学的,形态化,False,True,False,False,6060
14,A11B7MUC7UTFKN,NLI,自然语言推理,NLI,True,False,False,False,6060
15,A30IGMGSC7G2HM,statistical,统计的,统计类,False,True,False,False,6060
16,A30IGMGSC7G2HM,CRF,条件随机场,CRF,False,True,False,False,6060
17,A30IGMGSC7G2HM,OOV,超出词汇表,OOV,False,True,False,False,6060
18,A30IGMGSC7G2HM,morphological,形态学的,形态化,False,True,False,False,6060
19,A30IGMGSC7G2HM,NLI,自然语言推理,NLI,False,True,False,False,6060
20,A19I2ZK220NTAE,statistical,统计的,统计类,False,True,False,False,6060
21,A19I2ZK220NTAE,CRF,条件随机场,CRF,False,True,False,False,6060
22,A19I2ZK220NTAE,OOV,超出词汇表,OOV,False,True,False,False,6060
23,A19I2ZK220NTAE,morphological,形态学的,形态化,False,True,False,False,6060
24,A19I2ZK220NTAE,NLI,自然语言推理,NLI,False,True,False,False,6060
25,A3MDTRJTDIDNX,BERTs,BERT模型集,BERTs,False,True,False,False,6060
26,A3MDTRJTDIDNX,CONLL,会议自然语言处理与计算语言学,CoNLL,False,False,True,False,6060
27,A3MDTRJTDIDNX,corresponding,对应的,相应的,True,False,False,False,6060
28,A3MDTRJTDIDNX,newswire,新闻通讯,新闻专线,False,True,False,False,6060
