,WorkerId,en_word,anno1_word,anno2_word,Answer.A,Answer.B,Answer.C,Answer.D,source
0,A2FXDEKCCUT9OJ,AI,IA,intelligence artificielle,True,False,False,False,6060
1,A2FXDEKCCUT9OJ,NLP,PNL,TAL traitement automatique du langage naturel,True,False,False,False,6060
2,A2FXDEKCCUT9OJ,spans,segments,étendage,False,True,False,False,6060
3,A2FXDEKCCUT9OJ,OOV,hors vocabulaire,OOV,True,False,False,False,6060
4,A2FXDEKCCUT9OJ,newswire,fil d'actualités,fil d'actualité,True,False,False,False,6060
5,A3OAFR48DADAOM,AI,IA,intelligence artificielle,True,False,False,False,6060
6,A3OAFR48DADAOM,NLP,PNL,TAL traitement automatique du langage naturel,False,False,True,False,6060
7,A3OAFR48DADAOM,spans,segments,étendage,False,True,False,False,6060
8,A3OAFR48DADAOM,OOV,hors vocabulaire,OOV,True,False,False,False,6060
9,A3OAFR48DADAOM,newswire,fil d'actualités,fil d'actualité,True,False,False,False,6060
10,A30IGMGSC7G2HM,AI,IA,intelligence artificielle,True,False,False,False,6060
11,A30IGMGSC7G2HM,NLP,PNL,TAL traitement automatique du langage naturel,False,False,True,False,6060
12,A30IGMGSC7G2HM,spans,segments,étendage,False,True,False,False,6060
13,A30IGMGSC7G2HM,OOV,hors vocabulaire,OOV,True,False,False,False,6060
14,A30IGMGSC7G2HM,newswire,fil d'actualités,fil d'actualité,True,False,False,False,6060
15,A186ORPGIU3WNL,AI,IA,intelligence artificielle,True,False,False,False,6060
16,A186ORPGIU3WNL,NLP,PNL,TAL traitement automatique du langage naturel,True,False,False,False,6060
17,A186ORPGIU3WNL,spans,segments,étendage,False,True,False,False,6060
18,A186ORPGIU3WNL,OOV,hors vocabulaire,OOV,False,True,False,False,6060
19,A186ORPGIU3WNL,newswire,fil d'actualités,fil d'actualité,True,False,False,False,6060
20,A2YVLMI4PRDECY,AI,IA,intelligence artificielle,True,False,False,False,6060
21,A2YVLMI4PRDECY,NLP,PNL,TAL traitement automatique du langage naturel,False,False,True,False,6060
22,A2YVLMI4PRDECY,spans,segments,étendage,False,True,False,False,6060
23,A2YVLMI4PRDECY,OOV,hors vocabulaire,OOV,True,False,False,False,6060
24,A2YVLMI4PRDECY,newswire,fil d'actualités,fil d'actualité,True,False,False,False,6060
25,A3Q32FL0WWF4KZ,written,écrit,écrits,True,False,False,False,6060
26,A3Q32FL0WWF4KZ,Furthermore,De plus,en outre,True,False,False,False,6060
27,A3Q32FL0WWF4KZ,features,caractéristiques,fonctions,True,False,False,False,6060
28,A3Q32FL0WWF4KZ,generating,génération,production,True,False,False,False,6060
29,A3Q32FL0WWF4KZ,search,recherche,cherche,False,True,False,False,6060
30,A1U6UPXOFCXR24,written,écrit,écrits,False,True,False,False,6060
31,A1U6UPXOFCXR24,Furthermore,De plus,en outre,True,False,False,False,6060
32,A1U6UPXOFCXR24,features,caractéristiques,fonctions,True,False,False,False,6060
33,A1U6UPXOFCXR24,generating,génération,production,False,True,False,False,6060
34,A1U6UPXOFCXR24,search,recherche,cherche,False,True,False,False,6060
35,A2YVLMI4PRDECY,written,écrit,écrits,False,True,False,False,6060
36,A2YVLMI4PRDECY,Furthermore,De plus,en outre,True,False,False,False,6060
37,A2YVLMI4PRDECY,features,caractéristiques,fonctions,False,True,False,False,6060
38,A2YVLMI4PRDECY,generating,génération,production,True,False,False,False,6060
39,A2YVLMI4PRDECY,search,recherche,cherche,False,True,False,False,6060
40,A2E2FFMXS9F9KR,written,écrit,écrits,True,False,False,False,6060
41,A2E2FFMXS9F9KR,Furthermore,De plus,en outre,True,False,False,False,6060
42,A2E2FFMXS9F9KR,features,caractéristiques,fonctions,False,True,False,False,6060
43,A2E2FFMXS9F9KR,generating,génération,production,True,False,False,False,6060
44,A2E2FFMXS9F9KR,search,recherche,cherche,False,True,False,False,6060
45,A3HSZ9YLOBCCPR,written,écrit,écrits,True,False,False,False,6060
46,A3HSZ9YLOBCCPR,Furthermore,De plus,en outre,True,False,False,False,6060
47,A3HSZ9YLOBCCPR,features,caractéristiques,fonctions,False,True,False,False,6060
48,A3HSZ9YLOBCCPR,generating,génération,production,True,False,False,False,6060
49,A3HSZ9YLOBCCPR,search,recherche,cherche,False,True,False,False,6060
50,A3IG9HHR3NL9R0,grounding,ancrage,bases,True,False,False,False,6060
51,A3IG9HHR3NL9R0,training,entraînement,formation,True,False,False,False,6060
52,A3IG9HHR3NL9R0,pretrained,préentraîné,pré-formation,False,True,False,False,6060
53,A3IG9HHR3NL9R0,graph,graphe,"graphique, diagramme",True,False,False,False,6060
54,A3IG9HHR3NL9R0,computational,computationnel,informatique,False,False,True,False,6060
55,ASML73P0NOOVV,grounding,ancrage,bases,False,True,False,False,6060
56,ASML73P0NOOVV,training,entraînement,formation,True,False,False,False,6060
57,ASML73P0NOOVV,pretrained,préentraîné,pré-formation,False,True,False,False,6060
58,ASML73P0NOOVV,graph,graphe,"graphique, diagramme",True,False,False,False,6060
59,ASML73P0NOOVV,computational,computationnel,informatique,False,False,True,False,6060
60,A2D6SB3TU1NYQ7,grounding,ancrage,bases,False,True,False,False,6060
